No;DATE;PM10;MPM10;NO;MNO;NO2;MNO2;NOX;MNOX;GRAD;MGRAD;TempAir;MTEMP;HUMAIR;MHUM;FF;MFF;DD;MDD;RAIN;MRAIN;SCODE
77;18/03/2017;41.96;  ;13.41;  ;6.22;  ;13.04;  ;80.76;  ;26.71;  ;82.96;  ;0.96;  ;190.01;  ;0.23;  ;HIJPR
78;19/03/2017;58.01;  ;15.12;  ;7.18;  ;14.78;  ;151.21;  ;28.58;  ;73.51;  ;0.61;  ;197.24;  ;0.01;  ;HIJPR
79;20/03/2017;34.4;  ;16.15;  ;7.16;  ;15.53;  ;77.4;  ;27.55;  ;77.4;  ;1.27;  ;232.5;  ;0.1;  ;HIJPR
80;21/03/2017;44.43;  ;15.57;  ;8.64;  ;15.89;  ;122.94;  ;28.32;  ;77.74;  ;0.6;  ;235.29;  ;0.18;  ;HIJPR
81;22/03/2017;41.52;  ;12.67;  ;12.19;  ;15.39;  ;102.05;  ;27.59;  ;85.34;  ;0.28;  ;160.27;  ;0.1;  ;HIJPR
82;23/03/2017;59.68;  ;20.6;  ;20.56;  ;25.34;  ;49.95;  ;26.08;  ;87.43;  ;0.28;  ;161.63;  ;0.65;  ;HIJPR
83;24/03/2017;86.49;  ;25.03;  ;16.61;  ;26.77;  ;190.14;  ;29.73;  ;73.55;  ;0.35;  ;193.15;  ;0;  ;HIJPR
84;25/03/2017;51.61;  ;9.45;  ;11.62;  ;12.71;  ;69.03;  ;29.11;  ;79.65;  ;0.27;  ;159.07;  ;0.02;  ;HIJPR
85;26/03/2017;75.99;  ;10.23;  ;10.61;  ;12.8;  ;79.66;  ;28.16;  ;83.59;  ;0.53;  ;204.98;  ;0.39;  ;HIJPR
86;27/03/2017;34.78;  ;12.39;  ;12.38;  ;15.27;  ;196.31;  ;28.56;  ;76.7;  ;0.36;  ;184.44;  ;0.01;  ;HIJPR
87;28/03/2017;74.22;  ;17.31;  ;10.86;  ;18.48;  ;161.69;  ;28.27;  ;78.86;  ;0.34;  ;175.91;  ;0.64;  ;HIJPR
88;29/03/2017;49.6;  ;17.62;  ;8.89;  ;17.47;  ;124.71;  ;28.73;  ;73.36;  ;0.83;  ;220.45;  ;0;  ;HIJPR
89;30/03/2017;36.93;  ;14.09;  ;7.13;  ;13.99;  ;212.96;  ;29.28;  ;70.79;  ;1.18;  ;243.45;  ;0;  ;HIJPR
90;31/03/2017;41.13;  ;15;  ;8.81;  ;15.48;  ;29.61;  ;27.95;  ;77.66;  ;1.36;  ;230.19;  ;0;  ;HIJPR
91;01/04/2017;36.42;  ;8.44;  ;9.8;  ;11.24;  ;146.61;  ;27.83;  ;79.53;  ;0.64;  ;179.42;  ;0.57;  ;HIJPR
92;02/04/2017;44.04;  ;10.67;  ;10.25;  ;12.96;  ;121.09;  ;27.61;  ;82.45;  ;0.62;  ;201.53;  ;0.38;  ;HIJPR
93;03/04/2017;37.08;  ;13.74;  ;8.96;  ;14.53;  ;88.33;  ;27.22;  ;83.42;  ;0.75;  ;222.81;  ;0.24;  ;HIJPR
94;04/04/2017;29.86;  ;9.51;  ;11.26;  ;12.77;  ;135.95;  ;28.14;  ;78.7;  ;0.82;  ;223.22;  ;0;  ;HIJPR
95;05/04/2017;39.22;  ;12.28;  ;6.2;  ;12.35;  ;213.7;  ;28.86;  ;72.78;  ;1.87;  ;237.02;  ;0;  ;HIJPR
96;06/04/2017;41.41;  ;11.71;  ;5.87;  ;11.6;  ;178.05;  ;28.65;  ;71.23;  ;2.06;  ;236.19;  ;0;  ;HIJPR
97;07/04/2017;23.4;  ;11.22;  ;6.69;  ;11.63;  ;113.57;  ;28.23;  ;73.33;  ;1.65;  ;238.35;  ;0.01;  ;HIJPR
98;08/04/2017;17.87;  ;5.87;  ;3.44;  ;6.06;  ;103.56;  ;27.28;  ;77.48;  ;2.02;  ;236.52;  ;0.15;  ;HIJPR
99;09/04/2017;26.26;  ;6.59;  ;3.99;  ;6.86;  ;152.09;  ;29.17;  ;68.91;  ;1.28;  ;232.97;  ;0.01;  ;HIJPR
100;10/04/2017;46.58;  ;9.21;  ;11.3;  ;12.37;  ;183.72;  ;29.32;  ;72.86;  ;0.32;  ;164.93;  ;0.44;  ;HIJPR
101;11/04/2017;50.84;  ;13.06;  ;13.74;  ;16.44;  ;80.87;  ;28.32;  ;80.78;  ;0.43;  ;179.78;  ;0.11;  ;HIJPR
102;12/04/2017;40.66;  ;12.82;  ;16.89;  ;17.79;  ;101.76;  ;28.64;  ;76.66;  ;0.31;  ;152.63;  ;0.05;  ;HIJPR
103;13/04/2017;60.1;  ;12.37;  ;17.91;  ;17.95;  ;72.05;  ;28.84;  ;79.07;  ;0.33;  ;189.21;  ;0.02;  ;HIJPR
104;14/04/2017;64.4;  ;8.34;  ;12.4;  ;12.26;  ;147.3;  ;29.29;  ;75.48;  ;0.49;  ;100.1;  ;0;  ;HIJPR
105;15/04/2017;89.52;  ;8.35;  ;12.82;  ;12.48;  ;110;  ;29.17;  ;76.65;  ;0.33;  ;109.1;  ;0.09;  ;HIJPR
106;16/04/2017;74.48;  ;9.1;  ;14.62;  ;13.91;  ;99.13;  ;29.5;  ;73.19;  ;0.41;  ;216.46;  ;0;  ;HIJPR
107;17/04/2017;91.95;  ;10.84;  ;19.85;  ;17.75;  ;119.4;  ;29.45;  ;76.16;  ;0.35;  ;121.36;  ;0.2;  ;HIJPR
108;18/04/2017;116.95;  ;8.36;  ;20.01;  ;15.98; A);86.71;  ;29.25;  ;77.98;  ;0.41;  ;145.37;  ;0.03;  ;HIJPR
109;19/04/2017;---;1)A);---;1)A);---;1)A);---;1)A);---;1)A);---;1)A);---;1)A);---;1)A);---;1)A);---;1)A);HIJPR
